NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-10-02;2021-10-08;--;;;0.0000;0.0000;67;0.0000;8431;19;0.5356;14;4;0;49;18;44;1;8383;19;476;513
CATALUNYA;GLOBAL;2021-10-02;2021-10-08;Si;;;62.1161;18.3525;13;4891.6496;2885;580;0.8906;18;1;0;7;6;14;7;1929;429;40;63
CATALUNYA;GLOBAL;2021-10-02;2021-10-08;No;43.48;0.802979;54.1483;22.2561;1723;1711.0850;80837;51630;1.6971;213;27;11;959;764;1111;787;67042;44798;19329;31665
CATALUNYA;GLOBAL;2021-10-01;2021-10-07;No;47.8912;0.852713;56.1634;23.6640;1832;1747.4723;83615;51669;1.7460;214;23;12;1024;808;1171;827;69577;44858;18914;30293
CATALUNYA;GLOBAL;2021-10-01;2021-10-07;--;;;0.0000;0.0000;75;0.0000;8932;12;0.5399;17;3;0;54;21;47;1;8878;12;474;467
CATALUNYA;GLOBAL;2021-10-01;2021-10-07;Si;;;70.5865;21.1759;15;5301.0517;3165;590;0.8822;19;1;0;9;6;16;7;2160;447;45;69
CATALUNYA;GLOBAL;2021-09-30;2021-10-06;--;;;0.0000;0.0000;79;0.0000;8861;8;0.5446;16;3;0;54;25;47;1;8806;8;488;477
CATALUNYA;GLOBAL;2021-09-30;2021-10-06;Si;;;81.8804;23.9994;17;5502.9293;3298;600;0.9623;18;2;0;10;7;17;9;2245;457;54;63
CATALUNYA;GLOBAL;2021-09-30;2021-10-06;No;52.424;0.909164;57.6617;25.4595;1971;1753.6209;84748;51012;1.8447;209;24;14;1121;850;1256;863;70640;44228;19774;32787
CATALUNYA;GLOBAL;2021-09-29;2021-10-05;No;57.0856;0.961992;59.3410;27.2808;2112;1783.1364;85310;52735;1.8902;213;28;14;1194;918;1279;931;71235;45686;20432;35573
CATALUNYA;GLOBAL;2021-09-29;2021-10-05;--;;;0.0000;0.0000;84;0.0000;8924;11;0.6082;11;3;0;57;27;53;1;8867;11;466;480
CATALUNYA;GLOBAL;2021-09-29;2021-10-05;Si;;;88.9390;26.8228;19;5761.2762;3463;618;1.0021;21;4;2;12;7;19;9;2311;483;50;79
CATALUNYA;GLOBAL;2021-09-28;2021-10-04;Si;;;95.9977;33.8815;24;6083.1509;3711;598;1.1769;22;4;4;16;8;24;10;2433;456;48;84
CATALUNYA;GLOBAL;2021-09-28;2021-10-04;No;61.1261;1.01007;60.5164;29.2054;2261;1837.3493;88418;53824;1.9763;210;31;15;1303;958;1404;975;73796;46578;21117;37131
CATALUNYA;GLOBAL;2021-09-28;2021-10-04;--;;;0.0000;0.0000;86;0.0000;9107;10;0.6078;12;3;0;59;27;55;0;9039;10;493;500
CATALUNYA;GLOBAL;2021-09-27;2021-10-03;--;;;0.0000;0.0000;87;0.0000;9278;10;0.6074;12;3;0;61;26;56;0;9210;10;520;534
CATALUNYA;GLOBAL;2021-09-27;2021-10-03;Si;;;95.9977;38.1167;27;6489.7296;3904;693;0.9637;27;4;6;19;8;21;9;2575;538;54;96
CATALUNYA;GLOBAL;2021-09-27;2021-10-03;No;64.0534;1.04199;61.4723;31.0784;2406;1872.0445;89217;55711;2.0087;232;32;15;1396;1010;1450;1015;74456;48258;23717;40429
CATALUNYA;GLOBAL;2021-09-26;2021-10-02;No;65.789;1.07067;61.4464;31.4272;2433;1877.0822;89269;56049;2.0095;215;36;13;1393;1040;1440;1033;74497;48568;23767;41339
CATALUNYA;GLOBAL;2021-09-26;2021-10-02;--;;;0.0000;0.0000;88;0.0000;9297;10;0.5845;11;2;0;61;27;54;0;9229;10;522;548
CATALUNYA;GLOBAL;2021-09-26;2021-10-02;Si;;;98.8212;42.3519;30;6373.9676;3907;608;1.0848;28;4;8;21;9;23;10;2566;476;55;98
CATALUNYA;GLOBAL;2021-09-25;2021-10-01;--;;;0.0000;0.0000;78;0.0000;9319;11;0.4644;12;2;0;51;27;43;0;9248;11;523;552
CATALUNYA;GLOBAL;2021-09-25;2021-10-01;Si;;;101.6446;43.7636;31;6558.9044;4031;615;1.0870;31;3;9;22;9;24;10;2652;476;56;96
CATALUNYA;GLOBAL;2021-09-25;2021-10-01;No;68.0692;1.10084;61.8339;31.8922;2469;1873.9304;88886;56188;2.0187;210;37;13;1374;1095;1393;1087;74106;48744;23930;42389
CATALUNYA;GLOBAL;2021-09-24;2021-09-30;No;69.7841;1.12552;62.0019;32.4993;2516;1810.6497;86117;54058;2.1140;207;38;18;1378;1138;1387;1120;71626;46965;24944;45367
CATALUNYA;GLOBAL;2021-09-24;2021-09-30;--;;;0.0000;0.0000;75;0.0000;9119;17;0.4745;12;4;0;49;26;43;0;9045;17;513;575
CATALUNYA;GLOBAL;2021-09-24;2021-09-30;Si;;;132.7027;49.4106;35;6560.3162;3982;665;1.2566;31;4;9;26;9;28;10;2542;482;58;109
CATALUNYA;GLOBAL;2021-09-23;2021-09-29;--;;;0.0000;0.0000;68;0.0000;8763;23;0.4477;14;5;0;44;24;39;0;8690;22;526;592
CATALUNYA;GLOBAL;2021-09-23;2021-09-29;Si;;;156.7021;57.8809;41;6592.7860;3926;744;1.4085;38;3;9;30;11;32;11;2523;530;66;139
CATALUNYA;GLOBAL;2021-09-23;2021-09-29;No;69.2431;1.10779;62.5056;32.2022;2493;1797.2676;84829;54310;2.1294;218;35;18;1337;1156;1355;1148;70348;47198;25835;45663
CATALUNYA;GLOBAL;2021-09-22;2021-09-28;--;;;0.0000;0.0000;75;0.0000;8544;22;0.4827;14;4;0;49;26;41;0;8474;20;552;614
CATALUNYA;GLOBAL;2021-09-22;2021-09-28;Si;;;172.2312;62.1161;44;6683.1368;4009;725;1.3557;36;1;9;32;12;32;10;2590;508;88;156
CATALUNYA;GLOBAL;2021-09-22;2021-09-28;No;67.9603;1.08279;62.7640;32.0601;2482;1737.9395;81906;52640;2.2334;230;31;18;1321;1161;1386;1149;67747;45757;27925;43796
CATALUNYA;GLOBAL;2021-09-21;2021-09-27;No;66.3475;1.04314;63.6036;31.3109;2424;1672.4759;79615;49863;2.2291;224;36;22;1260;1164;1294;1141;65849;43386;30251;45088
CATALUNYA;GLOBAL;2021-09-21;2021-09-27;--;;;0.0000;0.0000;85;0.0000;8311;23;0.5080;15;5;0;50;35;41;1;8247;21;596;610
CATALUNYA;GLOBAL;2021-09-21;2021-09-27;Si;;;183.5250;62.1161;44;6824.3100;4131;703;1.3072;32;1;8;32;12;32;10;2715;498;101;166
